id,dob,semster,percentage
3,2001-05-31,1,98.37
21,2001-08-13,1,96.37
22,2001-12-21,1,96.1
40,2001-03-01,1,96.71
64,2001-01-18,1,95.92
72,2001-02-24,1,98.1
91,2001-07-23,1,97.07
128,2001-08-02,1,95.22
141,2001-10-08,1,99.46
144,2001-09-04,1,97.57
147,2001-12-07,1,96.2
160,2001-09-23,1,99.12
173,2001-02-01,1,96.91
188,2001-08-25,1,99.31
195,2001-01-05,1,97.43
207,2001-02-13,1,96.56
231,2001-03-18,1,98.74
251,2001-04-26,1,97.39
254,2001-07-07,1,95.01
277,2001-06-05,1,95.03
330,2001-12-05,1,98.05
336,2001-10-18,1,97.82
352,2001-04-28,1,97.77
429,2001-07-11,1,99.38
430,2001-05-24,1,98.25
472,2001-01-11,1,96.85
514,2001-01-02,1,96.59
519,2001-01-15,1,99.44
565,2001-11-06,1,98.33
568,2001-01-30,1,95.31
614,2001-07-21,1,96.43
615,2001-03-03,1,95.27
674,2001-12-17,1,98.68
683,2001-01-15,1,99.63
710,2001-07-01,1,97.65
736,2001-07-19,1,99.0
751,2001-09-30,1,96.14
770,2001-12-06,1,97.95
773,2001-09-23,1,99.97
795,2001-05-12,1,98.9
797,2001-03-19,1,97.05
800,2001-01-21,1,96.45
830,2001-01-16,1,97.3
865,2001-07-18,1,99.53
867,2001-08-19,1,95.93
876,2001-06-10,1,98.15
881,2001-03-31,1,96.2
919,2001-07-04,1,98.12
936,2001-04-06,1,97.72
1004,2001-04-02,1,95.54
1027,2001-04-07,1,97.77
1058,2001-12-16,1,95.81
1105,2001-06-08,1,95.96
1159,2001-12-09,1,95.96
1190,2001-01-26,1,96.93
1221,2001-09-12,1,97.79
1244,2001-02-23,1,95.48
1260,2001-08-30,1,98.88
1319,2001-05-27,1,98.98
1354,2001-08-07,1,98.09
1389,2001-05-31,1,95.61
1419,2001-08-07,1,97.62
1426,2001-06-15,1,95.41
1432,2001-03-18,1,96.23
1436,2001-08-08,1,96.8
1478,2001-11-20,1,97.88
1492,2001-05-30,1,96.92
1510,2001-04-17,1,97.26
1541,2001-05-16,1,97.76
1549,2001-02-05,1,98.29
1557,2001-12-10,1,97.14
1561,2001-11-08,1,95.25
1574,2001-03-07,1,97.21
1619,2001-08-28,1,99.65
1636,2001-08-10,1,98.96
1640,2001-01-21,1,95.49
1681,2001-04-24,1,97.12
1727,2001-10-30,1,96.09
1744,2001-01-26,1,95.47
1775,2001-09-19,1,98.32
1778,2001-05-13,1,98.74
1794,2001-08-18,1,95.69
1829,2001-12-03,1,96.97
1831,2001-04-20,1,97.27
1842,2001-06-28,1,97.55
1849,2001-01-04,1,97.39
1853,2001-05-01,1,96.8
1867,2001-08-19,1,99.49
1911,2001-09-26,1,96.39
1919,2001-07-22,1,97.37
1925,2001-02-09,1,99.37
1941,2001-03-10,1,97.38
1993,2001-07-03,1,98.53
1995,2001-06-26,1,96.89
2007,2001-12-10,1,96.89
2010,2001-02-12,1,97.75
2036,2001-08-18,1,97.63
2044,2001-04-15,1,98.73
2047,2001-11-08,1,98.33
2055,2001-05-16,1,98.66
2057,2001-04-14,1,97.11
2063,2001-07-08,1,97.69
2110,2001-02-20,1,97.9
2135,2001-05-23,1,98.83
2175,2001-10-08,1,97.27
2206,2001-06-06,1,96.53
2212,2001-03-29,1,99.73
2250,2001-03-14,1,99.23
2260,2001-10-08,1,99.92
2263,2001-07-31,1,98.53
2303,2001-06-19,1,96.39
2318,2001-08-12,1,95.65
2339,2001-05-08,1,96.82
2356,2001-02-21,1,97.79
2376,2001-10-25,1,97.33
2378,2001-09-16,1,95.95
2392,2001-12-18,1,95.11
2422,2001-04-03,1,98.87
2436,2001-07-01,1,97.27
2437,2001-05-17,1,95.7
2459,2001-06-23,1,98.89
2461,2001-07-28,1,98.31
2475,2001-02-05,1,96.0
2512,2001-07-04,1,96.92
2516,2001-10-27,1,99.2
2521,2001-04-30,1,95.88
2540,2001-01-01,1,95.1
2553,2001-09-08,1,95.09
2605,2001-09-02,1,97.66
2625,2001-03-12,1,95.85
2640,2001-11-19,1,97.67
2647,2001-06-09,1,99.82
2649,2001-01-17,1,96.72
2675,2001-04-20,1,98.99
2709,2001-11-13,1,98.74
2720,2001-08-03,1,99.68
2727,2001-12-08,1,98.84
2737,2001-05-27,1,95.27
2738,2001-07-25,1,95.7
2740,2001-10-05,1,97.42
2754,2001-02-21,1,95.93
2755,2001-05-15,1,97.0
2776,2001-02-24,1,95.2
2805,2001-03-15,1,95.3
2844,2001-04-01,1,95.7
2863,2001-01-31,1,97.9
2871,2001-04-17,1,95.11
2893,2001-03-11,1,96.89
2915,2001-08-30,1,99.83
2925,2001-04-19,1,98.92
2962,2001-01-27,1,98.26
2986,2001-12-16,1,95.79
2990,2001-02-16,1,99.44
2991,2001-08-04,1,96.95
2996,2001-12-05,1,98.16
3009,2001-06-05,1,98.23
3021,2001-12-23,1,99.47
3046,2001-02-07,1,95.62
3075,2001-04-26,1,97.3
3097,2001-07-03,1,97.62
3110,2001-09-26,1,98.77
3139,2001-01-08,1,99.74
3142,2001-07-20,1,96.9
3158,2001-05-18,1,97.46
3160,2001-08-30,1,98.16
3179,2001-07-03,1,95.18
3218,2001-09-12,1,95.55
